pipeline,resource,organisation,value,entity
parish,,government-organisation:D303,E04000586,130000526
parish,,government-organisation:D303,E04000587,130000527
parish,,government-organisation:D303,E04000588,130000528
parish,,government-organisation:D303,E04000589,130000529
parish,,government-organisation:D303,E04000590,130000530
parish,,government-organisation:D303,E04000591,130000531
parish,,government-organisation:D303,E04000592,130000532
parish,,government-organisation:D303,E04000593,130000533
parish,,government-organisation:D303,E04000594,130000534
parish,,government-organisation:D303,E04000596,130000535
parish,,government-organisation:D303,E04000597,130000536
parish,,government-organisation:D303,E04000598,130000537
parish,,government-organisation:D303,E04000600,130000538
parish,,government-organisation:D303,E04000601,130000539
parish,,government-organisation:D303,E04000602,130000540
parish,,government-organisation:D303,E04000603,130000541
parish,,government-organisation:D303,E04000604,130000542
parish,,government-organisation:D303,E04000605,130000543
parish,,government-organisation:D303,E04000606,130000544
parish,,government-organisation:D303,E04000608,130000545
parish,,government-organisation:D303,E04000609,130000546
parish,,government-organisation:D303,E04000610,130000547
parish,,government-organisation:D303,E04000611,130000548
parish,,government-organisation:D303,E04000612,130000549
parish,,government-organisation:D303,E04000613,130000550
parish,,government-organisation:D303,E04000614,130000551
parish,,government-organisation:D303,E04000616,130000552
parish,,government-organisation:D303,E04000618,130000553
parish,,government-organisation:D303,E04000621,130000554
parish,,government-organisation:D303,E04000622,130000555
parish,,government-organisation:D303,E04000623,130000556
parish,,government-organisation:D303,E04000624,130000557
parish,,government-organisation:D303,E04000625,130000558
parish,,government-organisation:D303,E04000627,130000559
parish,,government-organisation:D303,E04000628,130000560
parish,,government-organisation:D303,E04000629,130000561
parish,,government-organisation:D303,E04000630,130000562
parish,,government-organisation:D303,E04000631,130000563
parish,,government-organisation:D303,E04000632,130000564
parish,,government-organisation:D303,E04000633,130000565
parish,,government-organisation:D303,E04000634,130000566
parish,,government-organisation:D303,E04000635,130000567
parish,,government-organisation:D303,E04000636,130000568
parish,,government-organisation:D303,E04000638,130000569
parish,,government-organisation:D303,E04000639,130000570
parish,,government-organisation:D303,E04000640,130000571
parish,,government-organisation:D303,E04000641,130000572
parish,,government-organisation:D303,E04000643,130000573
parish,,government-organisation:D303,E04000644,130000574
parish,,government-organisation:D303,E04000646,130000575
parish,,government-organisation:D303,E04000647,130000576
parish,,government-organisation:D303,E04000649,130000577
parish,,government-organisation:D303,E04000650,130000578
parish,,government-organisation:D303,E04000651,130000579
parish,,government-organisation:D303,E04000652,130000580
parish,,government-organisation:D303,E04000653,130000581
parish,,government-organisation:D303,E04000654,130000582
parish,,government-organisation:D303,E04000655,130000583
parish,,government-organisation:D303,E04000656,130000584
parish,,government-organisation:D303,E04000657,130000585
parish,,government-organisation:D303,E04000658,130000586
parish,,government-organisation:D303,E04000659,130000587
parish,,government-organisation:D303,E04000660,130000588
parish,,government-organisation:D303,E04000662,130000589
parish,,government-organisation:D303,E04000663,130000590
parish,,government-organisation:D303,E04000664,130000591
parish,,government-organisation:D303,E04000665,130000592
parish,,government-organisation:D303,E04000666,130000593
parish,,government-organisation:D303,E04000667,130000594
parish,,government-organisation:D303,E04000668,130000595
parish,,government-organisation:D303,E04000669,130000596
parish,,government-organisation:D303,E04000670,130000597
parish,,government-organisation:D303,E04000671,130000598
parish,,government-organisation:D303,E04000672,130000599
parish,,government-organisation:D303,E04000673,130000600
parish,,government-organisation:D303,E04000674,130000601
parish,,government-organisation:D303,E04000675,130000602
parish,,government-organisation:D303,E04000676,130000603
parish,,government-organisation:D303,E04000677,130000604
parish,,government-organisation:D303,E04000678,130000605
parish,,government-organisation:D303,E04000679,130000606
parish,,government-organisation:D303,E04000680,130000607
parish,,government-organisation:D303,E04000681,130000608
parish,,government-organisation:D303,E04000682,130000609
parish,,government-organisation:D303,E04000683,130000610
parish,,government-organisation:D303,E04000684,130000611
parish,,government-organisation:D303,E04000685,130000612
parish,,government-organisation:D303,E04000686,130000613
parish,,government-organisation:D303,E04000687,130000614
parish,,government-organisation:D303,E04000688,130000615
parish,,government-organisation:D303,E04000689,130000616
parish,,government-organisation:D303,E04000690,130000617
